右上経度,右上緯度,左下経度,左下緯度,kW単価(φ800mm)_Dg3
34.7008,135.4268,34.698,135.424,1403.941657
34.7008,135.4295,34.698,135.4267,1403.493388
34.7008,135.4322,34.698,135.4295,1395.410772
34.7008,135.435,34.698,135.4322,1382.836854
34.7009,135.4377,34.6981,135.4349,1378.217017
34.7009,135.4404,34.6981,135.4377,1384.496507
34.7009,135.4431,34.6981,135.4404,1402.422251
34.7009,135.4459,34.6981,135.4431,1413.084097
34.7009,135.4486,34.6981,135.4458,1402.012682
34.7009,135.4513,34.6981,135.4486,1375.432166
34.7009,135.4541,34.6981,135.4513,1326.923365
34.7009,135.4568,34.6981,135.454,1323.065186
34.701,135.4595,34.6982,135.4568,1313.956884
34.701,135.4622,34.6982,135.4595,1310.600129
34.701,135.465,34.6982,135.4622,1314.633828
34.701,135.4677,34.6982,135.465,1320.525902
34.701,135.4704,34.6982,135.4677,1320.653736
34.701,135.4732,34.6982,135.4704,1325.252431
34.701,135.4759,34.6982,135.4731,1317.084349
34.701,135.4786,34.6982,135.4759,1305.00029
34.701,135.4814,34.6983,135.4786,1289.487216
34.7011,135.4841,34.6983,135.4813,1314.051145
34.7011,135.4868,34.6983,135.4841,1326.408919
34.7011,135.4895,34.6983,135.4868,1345.255732
34.7011,135.4923,34.6983,135.4895,1366.966016
34.7011,135.495,34.6983,135.4922,1385.431625
34.7011,135.4977,34.6983,135.495,1459.94195
34.7011,135.5005,34.6983,135.4977,1495.930798
34.7011,135.5032,34.6983,135.5004,1663.86436
34.7011,135.5059,34.6984,135.5032,1772.433907
34.7012,135.5086,34.6984,135.5059,3930.332256
34.7014,135.5769,34.6986,135.5741,6360.444453
34.7014,135.5796,34.6986,135.5769,3581.974031
34.7014,135.5823,34.6986,135.5796,5039.75416
34.7014,135.5851,34.6986,135.5823,3084.849634
34.7015,135.5878,34.6987,135.585,2194.178228
34.7015,135.5905,34.6987,135.5878,1811.964978
34.7015,135.5933,34.6987,135.5905,1591.095572
34.7015,135.596,34.6987,135.5932,1554.25697
34.7015,135.5987,34.6987,135.596,1405.451256
34.6985,135.4159,34.6957,135.4131,1474.449796
34.6985,135.4186,34.6957,135.4158,1467.118926
34.6985,135.4213,34.6957,135.4186,1434.142152
34.6985,135.4241,34.6957,135.4213,1402.735788
34.6985,135.4268,34.6958,135.424,1396.667371
34.6986,135.4295,34.6958,135.4268,1392.188514
34.6986,135.4322,34.6958,135.4295,1391.275236
34.6986,135.435,34.6958,135.4322,1385.399296
34.6986,135.4377,34.6958,135.4349,1388.279709
34.6986,135.4404,34.6958,135.4377,1394.049022
34.6986,135.4432,34.6958,135.4404,1397.276551
34.6986,135.4459,34.6958,135.4431,1400.859462
34.6987,135.4486,34.6959,135.4459,1405.891903
34.6987,135.4513,34.6959,135.4486,1390.912496
34.6987,135.4541,34.6959,135.4513,1341.641413
34.6987,135.4568,34.6959,135.4541,1331.127892
34.6987,135.4595,34.6959,135.4568,1315.304628
34.6987,135.4623,34.6959,135.4595,1315.30098
34.6987,135.465,34.6959,135.4622,1318.519916
34.6987,135.4677,34.6959,135.465,1313.3133
34.6987,135.4704,34.696,135.4677,1310.397994
34.6988,135.4732,34.696,135.4704,1309.251567
