原点(緯度),原点(経度),kW単価(φ300mm)_Dg1,kW単価(φ300mm)_Dg2,kW単価(φ300mm)_Dg3,kW単価(φ300mm)_Dg4
34.72012189,135.5262604,130.040093,0,0,0
34.72013241,135.5289906,132.2899216,0,0,0
34.72014287,135.5317207,132.2899216,0,0,0
34.72015327,135.5344508,132.2899216,0,0,0
34.72016361,135.5371809,135.493635,0,0,0
34.7201739,135.539911,144.6347566,0,0,0
34.72018413,135.5426411,185.4411673,0,0,0
34.7201943,135.5453712,232.8839837,628.5329631,0,0
34.72020441,135.5481013,391.4517474,631.663887,0,0
34.72021446,135.5508315,0,0,0,0
34.72022446,135.5535616,0,599.5580393,0,0
34.72023439,135.5562917,0,0,0,0
34.72024427,135.5590218,0,0,0,0
34.72025409,135.5617519,0,0,0,0
34.72026384,135.564482,,0,0,0
34.72027354,135.5672121,,0,0,0
34.71755977,135.4525636,132.2899216,36.17087251,1799.827458,2353.530822
34.71757195,135.4552935,132.2899216,36.64106633,1816.170397,2359.967519
34.71758407,135.4580235,132.2899216,35.40796361,1781.31015,2325.746722
34.71759613,135.4607535,133.6775781,35.2450353,1780.172093,2316.768935
34.71760813,135.4634835,134.6189695,35.20707492,1775.920125,2313.551796
34.71762006,135.4662134,132.3662573,35.28604757,1771.866909,2314.786579
34.71763194,135.4689434,135.0946549,35.91074192,1801.462951,2314.890414
34.71764375,135.4716734,135.3337605,36.16633746,1806.641654,2306.278408
34.71765551,135.4744034,136.8679737,35.9361392,1808.19386,2289.013398
34.71766721,135.4771334,138.9404749,35.49915797,1779.103895,2273.742803
34.71767885,135.4798633,138.9404749,35.73258714,1745.621303,2274.967199
34.71769044,135.4825933,136.949686,36.19932214,1782.943617,2260.049558
34.71770196,135.4853233,135.3337605,36.3895141,1789.888689,2248.79993
34.71771343,135.4880533,135.3337605,37.3592835,1822.735721,2233.64354
34.71772483,135.4907832,134.8563927,38.21862596,1853.749263,2227.14514
34.71773618,135.4935132,132.1375138,39.20175443,1890.744962,2216.278418
34.71774746,135.4962432,130.727878,42.2327803,2007.919788,2085.775441
34.7177587,135.4989732,130.8280868,46.39025948,2136.338968,2034.279925
34.7177699,135.5017032,128.7887473,97.67009683,2465.05556,2098.328842
34.71778109,135.5044332,124.4819705,150.0702834,3501.096367,3461.201555
34.71779221,135.5071632,130.55755,378.5584743,6531.4592,0
34.71780326,135.5098932,130.1102526,0,0,0
34.71781426,135.5126232,129.3906972,0,0,0
34.71782521,135.5153533,132.163355,0,0,0
34.71783609,135.5180833,139.9524821,0,0,0
34.71784692,135.5208133,133.7061179,0,0,0
34.71785768,135.5235433,125.4727521,0,0,0
34.71786831,135.5262733,127.0159048,0,0,0
34.71787882,135.5290034,131.0055534,0,0,0
34.71788927,135.5317334,128.5102095,0,0,0
34.71789965,135.5344635,133.1344887,0,0,0
34.71790998,135.5371936,141.424614,0,0,0
34.71792026,135.5399236,151.9143867,0,0,0
34.71793049,135.5426536,180.4805067,596.0353716,0,0
34.71794065,135.5453837,181.3365407,450.8676456,8140.069585,0
34.71795076,135.5481137,323.5412186,518.6360954,9363.576976,0
34.71796081,135.5508437,0,0,0,0
