原点(経度),原点(緯度),メッシュあたり賦存量MJ/y
135.4306465,34.72872811,1831257.037
135.4333768,34.72874078,1831257.037
135.4361071,34.7287534,1831257.037
135.4388374,34.72876595,1831257.037
135.4415677,34.72877844,1831257.037
135.4442981,34.72879087,1831257.037
135.4470284,34.72880324,1831257.037
135.4497587,34.72881555,1831257.037
135.4524891,34.72882779,21946104.59
135.4552194,34.72883997,21734574.96
135.4579498,34.72885209,21547106.44
135.4606801,34.72886415,21325409.3
135.4634105,34.72887615,21178963.36
135.4661408,34.7288881,21011238.89
135.4688712,34.72889998,20764512.98
135.4716015,34.72891181,20554802.61
135.4743319,34.72892358,20317633.95
135.4770623,34.72893528,20077224.71
135.4797926,34.72894693,19739835.37
135.482523,34.72895852,18966522
135.4852533,34.72897005,18811973.2
135.4879837,34.72898152,18710364.42
135.490714,34.72899294,18497348.95
135.4934444,34.7290043,18227514.08
135.4961747,34.7290156,15091425.99
135.4989051,34.72902684,9083478.025
135.5016355,34.72903804,3634304.122
135.5043658,34.72904919,1361776.015
135.5070962,34.72906028,1350002.542
135.5098266,34.72907131,1606389.452
135.512557,34.72908228,1759988.814
135.5152873,34.72909319,1906421.074
135.5180177,34.72910404,1888854.925
135.5207481,34.72911483,1760852.932
135.5234785,34.72912556,1703130.162
135.5262089,34.7291362,1730763.436
135.5289392,34.72914677,1724031.278
135.5316696,34.72915727,1720273.49
135.5344,34.72916771,1759576.195
135.5371304,34.72917809,1816576.283
135.5398608,34.7291884,1905592.424
135.5425912,34.72919865,2037172.329
135.5453216,34.72920884,1949031.523
135.548052,34.72921897,1737529.515
135.5507824,34.72922904,1313487.042
135.5535128,34.72923905,1011436.037
135.5562432,34.72924901,719834.2064
135.5589736,34.7292589,581813.2608
135.561704,34.72926873,444348.2941
135.5644344,34.72927849,442453.7934
135.5671648,34.72928819,496276.9022
135.5698953,34.72929784,546086.5436
135.5726257,34.72930741,329859.6656
135.5753561,34.72931693,383120.4428
135.5780865,34.72932639,2876608.874
135.580817,34.72933578,6839169.823
135.5835474,34.72934512,0
135.5862778,34.72935439,0
135.5890082,34.72936359,0
135.5917386,34.72937273,0
135.594469,34.7293818,0
135.5971994,34.72939081,0
135.5999298,34.72939977,28514.38293
135.3924388,34.7262903,4250755.234
135.3951691,34.7263039,3906470.462
135.3978993,34.72631744,3745945.047
135.4006295,34.7263309,3662514.075
135.4033598,34.72634427,3662514.075
135.40609,34.72635758,3580139.191
135.4088202,34.72637083,3395323.746
135.4115504,34.72638401,3137638.211
135.4142806,34.72639713,2873616.147
135.4170109,34.72641018,2559957.935
