右上経度,右上緯度,左下経度,左下緯度,メッシュあたり賦存量MJ/y
135.5439,34.7416,135.5411,34.7393,1585667.163
135.5466,34.7416,135.5439,34.7394,1616064.36
135.5494,34.7416,135.5466,34.7394,1754832.818
135.5521,34.7416,135.5493,34.7394,1885555.425
135.5548,34.7416,135.5521,34.7394,1859127.951
135.5576,34.7416,135.5548,34.7394,1885036.839
135.5603,34.7417,135.5575,34.7394,1982971.662
135.563,34.7417,135.5603,34.7394,2054699.66
135.5658,34.7417,135.563,34.7394,2354162.16
135.5685,34.7417,135.5657,34.7394,2879546.847
135.5712,34.7417,135.5684,34.7394,3384762.863
135.574,34.7417,135.5712,34.7394,1858715.332
135.5767,34.7417,135.5739,34.7395,1559842.355
135.5794,34.7417,135.5766,34.7395,1333839.468
135.5821,34.7417,135.5794,34.7395,955759.8724
135.5849,34.7417,135.5821,34.7395,525931.9519
135.5876,34.7417,135.5848,34.7395,268246.4172
135.5903,34.7418,135.5876,34.7395,105608.8257
135.5931,34.7418,135.5903,34.7395,71814.00146
135.5958,34.7418,135.593,34.7395,208049.3866
135.5985,34.7418,135.5958,34.7395,312602.124
135.6013,34.7418,135.5985,34.7395,349565.213
135.3937,34.7387,135.391,34.7364,3550568.719
135.3965,34.7387,135.3937,34.7364,3571690.485
135.3992,34.7387,135.3964,34.7365,3546344.366
135.4019,34.7387,135.3992,34.7365,3438623.364
135.4047,34.7387,135.4019,34.7365,3253807.919
135.4074,34.7388,135.4046,34.7365,2946486.237
135.4101,34.7388,135.4074,34.7365,2552565.317
135.4129,34.7388,135.4101,34.7365,2242075.369
135.4156,34.7388,135.4128,34.7365,2037194.247
135.4183,34.7388,135.4155,34.7366,1908351.48
135.421,34.7388,135.4183,34.7366,1862939.685
135.4238,34.7388,135.421,34.7366,1876668.832
135.4265,34.7388,135.4237,34.7366,1831257.037
135.4292,34.7389,135.4265,34.7366,1831257.037
135.432,34.7389,135.4292,34.7366,1831257.037
135.4347,34.7389,135.4319,34.7366,1831257.037
135.4374,34.7389,135.4347,34.7366,1831257.037
135.4402,34.7389,135.4374,34.7367,1831257.037
135.4429,34.7389,135.4401,34.7367,1831257.037
135.4456,34.7389,135.4429,34.7367,1831257.037
135.4484,34.7389,135.4456,34.7367,1831257.037
135.4511,34.739,135.4483,34.7367,1831257.037
135.4538,34.739,135.451,34.7367,1831257.037
135.4565,34.739,135.4538,34.7367,1794293.948
135.4593,34.739,135.4565,34.7367,1813303.537
135.462,34.739,135.4592,34.7368,1755218.683
135.4647,34.739,135.462,34.7368,1628488.092
135.4675,34.739,135.4647,34.7368,1411989.999
135.4702,34.739,135.4674,34.7368,17561983.91
135.4729,34.7391,135.4702,34.7368,17390794.46
135.4757,34.7391,135.4729,34.7368,17206917.03
135.4784,34.7391,135.4756,34.7368,17069605.82
135.4811,34.7391,135.4783,34.7368,17000314.33
135.4839,34.7391,135.4811,34.7368,16909953.54
135.4866,34.7391,135.4838,34.7369,16328301.72
135.4893,34.7391,135.4865,34.7369,15575451.38
135.492,34.7391,135.4893,34.7369,12918639.39
135.4948,34.7391,135.492,34.7369,10406964.19
135.4975,34.7392,135.4947,34.7369,4899047.664
135.5002,34.7392,135.4975,34.7369,1928375.76
135.503,34.7392,135.5002,34.7369,1448754.266
135.5057,34.7392,135.5029,34.7369,1142859.501
135.5084,34.7392,135.5057,34.7369,1143169.126
135.5112,34.7392,135.5084,34.737,1109121.564
135.5139,34.7392,135.5111,34.737,991949.7134
135.5166,34.7392,135.5138,34.737,926483.9287
135.5194,34.7392,135.5166,34.737,1142005.146
135.5221,34.7393,135.5193,34.737,1560222.886
135.5248,34.7393,135.522,34.737,1396633.687
135.5275,34.7393,135.5248,34.737,1211573.812
135.5303,34.7393,135.5275,34.737,1278434.426
135.533,34.7393,135.5302,34.737,1651154.368
135.5357,34.7393,135.533,34.7371,1692439.5
135.5385,34.7393,135.5357,34.7371,1682963.384
135.5412,34.7393,135.5384,34.7371,1636578.124
135.5439,34.7393,135.5412,34.7371,1623686.34
135.5467,34.7393,135.5439,34.7371,1684710.096
135.5494,34.7394,135.5466,34.7371,1749552.376
135.5521,34.7394,135.5493,34.7371,1850704.513
135.5549,34.7394,135.5521,34.7371,1847209.632
135.5576,34.7394,135.5548,34.7371,1817180.873
135.5603,34.7394,135.5575,34.7371,1746864.257
135.563,34.7394,135.5603,34.7372,1766200.462
135.5658,34.7394,135.563,34.7372,1925574.022
135.5685,34.7394,135.5657,34.7372,2231239.892
135.5712,34.7394,135.5685,34.7372,2704996.872
135.574,34.7394,135.5712,34.7372,1113117.023
135.5767,34.7395,135.5739,34.7372,851207.135
135.5794,34.7395,135.5767,34.7372,658999.0723
135.5822,34.7395,135.5794,34.7372,498473.6572
135.5849,34.7395,135.5821,34.7372,297816.8884
135.5876,34.7395,135.5848,34.7372,146796.2677
135.5903,34.7395,135.5876,34.7373,54916.58936
135.5931,34.7395,135.5903,34.7373,48580.05981
135.5958,34.7395,135.593,34.7373,117225.7965
135.5985,34.7395,135.5958,34.7373,142571.9147
135.6013,34.7395,135.5985,34.7373,170030.2094
135.3938,34.7364,135.391,34.7342,3536839.572
135.3965,34.7364,135.3937,34.7342,3646672.751
135.3992,34.7365,135.3964,34.7342,3616046.191
135.402,34.7365,135.3992,34.7342,3561129.602
135.4047,34.7365,135.4019,34.7342,3440735.541
135.4074,34.7365,135.4046,34.7342,3179881.741
135.4101,34.7365,135.4074,34.7343,2823979.999
135.4129,34.7365,135.4101,34.7343,2481807.404
135.4156,34.7365,135.4128,34.7343,2237851.016
135.4183,34.7366,135.4156,34.7343,1998118.982
135.4211,34.7366,135.4183,34.7343,1929473.245
135.4238,34.7366,135.421,34.7343,1880893.185
135.4265,34.7366,135.4238,34.7343,1831257.037
135.4293,34.7366,135.4265,34.7343,1831257.037
135.432,34.7366,135.4292,34.7344,1831257.037
135.4347,34.7366,135.4319,34.7344,1831257.037
135.4374,34.7366,135.4347,34.7344,1831257.037
135.4402,34.7367,135.4374,34.7344,1831257.037
135.4429,34.7367,135.4401,34.7344,1831257.037
135.4456,34.7367,135.4429,34.7344,1831257.037
135.4484,34.7367,135.4456,34.7344,1831257.037
135.4511,34.7367,135.4483,34.7344,1831257.037
135.4538,34.7367,135.4511,34.7345,1831257.037
135.4566,34.7367,135.4538,34.7345,1794293.948
135.4593,34.7367,135.4565,34.7345,1813303.537
135.462,34.7368,135.4592,34.7345,1793237.86
135.4648,34.7368,135.462,34.7345,1679180.328
135.4675,34.7368,135.4647,34.7345,1457401.794
135.4702,34.7368,135.4674,34.7345,17397234.14
135.4729,34.7368,135.4702,34.7345,17284129.55
135.4757,34.7368,135.4729,34.7346,17152000.44
135.4784,34.7368,135.4756,34.7346,17014689.23
135.4811,34.7368,135.4784,34.7346,16946453.83
135.4839,34.7368,135.4811,34.7346,16902560.92
135.4866,34.7369,135.4838,34.7346,16291338.63
135.4893,34.7369,135.4866,34.7346,15590236.61
135.4921,34.7369,135.4893,34.7346,15004531.26
135.4948,34.7369,135.492,34.7346,13989642.53
135.4975,34.7369,135.4947,34.7346,9847998.335
135.5003,34.7369,135.4975,34.7347,4027386.645
135.503,34.7369,135.5002,34.7347,1645520.404
135.5057,34.7369,135.5029,34.7347,1128975.337
135.5084,34.7369,135.5057,34.7347,1121461.248
135.5112,34.737,135.5084,34.7347,1128894.2
135.5139,34.737,135.5111,34.7347,1260377.931
135.5166,34.737,135.5139,34.7347,1371935.935
135.5194,34.737,135.5166,34.7347,1494961.197
135.5221,34.737,135.5193,34.7347,1517544.879
135.5248,34.737,135.5221,34.7348,1443354.308
135.5276,34.737,135.5248,34.7348,1534334.4
135.5303,34.737,135.5275,34.7348,1443810.672
135.533,34.737,135.5302,34.7348,1652328.548
135.5357,34.7371,135.533,34.7348,1713810.592
135.5385,34.7371,135.5357,34.7348,1750342.584
135.5412,34.7371,135.5384,34.7348,1726379.17
135.5439,34.7371,135.5412,34.7348,1772705.618
135.5467,34.7371,135.5439,34.7348,1810785.531
135.5494,34.7371,135.5466,34.7349,1876119.644
135.5521,34.7371,135.5494,34.7349,1841945.744
135.5549,34.7371,135.5521,34.7349,1902991.795
135.5576,34.7371,135.5548,34.7349,1744789.004
135.5603,34.7371,135.5576,34.7349,1513323.906
135.5631,34.7372,135.5603,34.7349,1394304.272
135.5658,34.7372,135.563,34.7349,1304363.277
135.5685,34.7372,135.5657,34.7349,1260570.34
135.5712,34.7372,135.5685,34.7349,1280291.972
135.574,34.7372,135.5712,34.7349,562895.0409
135.5767,34.7372,135.5739,34.735,364350.4486
135.5794,34.7372,135.5767,34.735,283031.6528
135.5822,34.7372,135.5794,34.735,201712.8571
135.5849,34.7372,135.5821,34.735,148908.4442
135.5876,34.7372,135.5849,34.735,80262.70752
135.5904,34.7373,135.5876,34.735,43299.61853
135.5931,34.7373,135.5903,34.735,25346.11816
135.5958,34.7373,135.593,34.735,62309.20715
135.5986,34.7373,135.5958,34.735,61253.1189
135.6013,34.7373,135.5985,34.735,77094.44275
135.3938,34.7342,135.391,34.7319,3548456.543
135.3965,34.7342,135.3937,34.7319,3701589.34
135.3992,34.7342,135.3965,34.732,3686804.105
135.402,34.7342,135.3992,34.732,3638224.045
135.4047,34.7342,135.4019,34.732,3527334.778
