原点(経度),原点(緯度),メッシュあたり導入P_MJ/y
135.5153797,34.71331795,1162950.055
135.5181096,34.71332882,1133378.63
135.5208394,34.71333962,1321485.927
135.5235693,34.71335037,337509.7385
135.5262992,34.71336099,1955081.682
135.5290291,34.7133715,2024948.939
135.531759,34.71338195,1973710.613
135.5344889,34.71339234,1158025.478
135.5372188,34.71340267,1019027.352
135.5399487,34.71341295,964312.1749
135.5426786,34.71342317,1014990.634
135.5454085,34.71343333,1456262.756
135.5481384,34.71344344,924634.8694
135.5508682,34.71345348,427969.3692
135.5535981,34.71346348,432300.9317
135.556328,34.71347341,303797.1009
135.5590579,34.71348328,247061.5054
135.5617877,34.71349309,173205.1968
135.5645176,34.71350284,126149.442
135.5672475,34.71351252,122148.1915
135.5699774,34.71352215,39611.50546
135.5836268,34.71356942,26326.2121
135.5863567,34.7135787,805172.4564
135.5890866,34.71358791,1912774.921
135.43623,34.71072453,2276309.367
135.4389597,34.71073709,11273316.83
135.4416894,34.71074959,16257315.78
135.4444191,34.71076203,18741205.27
135.4471488,34.7107744,15638616.71
135.4498785,34.71078671,13074278.78
135.4526082,34.71079896,3702063.436
135.455338,34.71081114,17620097.85
135.4580677,34.71082326,16064385.58
135.4607974,34.71083532,15195624.46
135.4635272,34.71084732,17939224.94
135.466257,34.71085925,16790641.72
135.4689867,34.71087112,10684283.34
135.4717165,34.71088292,12292373.48
135.4744463,34.71089467,14198419.74
135.477176,34.71090638,14592369.95
135.4799058,34.71091803,15271361.55
135.4826355,34.71092961,4325677.105
135.4935546,34.71097538,157510.1588
135.4962843,34.71098667,7840516.948
135.4990141,34.71099791,12226345.69
135.5017439,34.71100911,5108622.35
135.5044737,34.71102028,3698830.389
135.5072035,34.71103138,1393824.139
135.5099333,34.71104242,1289539.625
135.5126631,34.7110534,1347474.467
135.5153929,34.71106431,1375795.436
135.5181227,34.71107516,1146826.678
135.5208525,34.71108596,2341680.675
135.5235823,34.71109668,366776.2189
135.5263121,34.71110731,2126252.746
135.529042,34.71111782,2120878.831
135.5317718,34.71112827,1582794.028
135.5345016,34.71113866,1224091.51
135.5372315,34.711149,992651.5454
135.5399613,34.71115928,765356.2104
135.5426911,34.7111695,1181520.909
135.5454209,34.71117967,799103.6776
