右上経度,右上緯度,左下経度,左下緯度,メッシュあたり導入P_MJ/y
135.5276,34.7235,135.5249,34.7212,1147162.518
135.5304,34.7235,135.5276,34.7213,1126024.271
135.5331,34.7235,135.5303,34.7213,1057116.56
135.5358,34.7235,135.5331,34.7213,1086189.452
135.5386,34.7235,135.5358,34.7213,1321592.479
135.5413,34.7236,135.5385,34.7213,1483748.214
135.544,34.7236,135.5412,34.7213,1124607.317
135.5467,34.7236,135.544,34.7213,1132512.942
135.5495,34.7236,135.5467,34.7213,960954.6339
135.5522,34.7236,135.5494,34.7213,662814.67
135.5549,34.7236,135.5522,34.7214,496422.0247
135.5577,34.7236,135.5549,34.7214,367066.9633
135.5604,34.7236,135.5576,34.7214,27986.03196
135.5631,34.7236,135.5604,34.7214,-1561.53398
135.5659,34.7236,135.5631,34.7214,4103.502492
135.5686,34.7237,135.5658,34.7214,769.6929806
135.4539,34.7209,135.4512,34.7187,9353079.206
135.4567,34.721,135.4539,34.7187,16825871.9
135.4594,34.721,135.4566,34.7187,14772078.03
135.4621,34.721,135.4594,34.7187,14121966.47
135.4649,34.721,135.4621,34.7187,11274463.03
135.4676,34.721,135.4648,34.7187,12683989.46
135.4703,34.721,135.4675,34.7188,13222548.17
135.473,34.721,135.4703,34.7188,15731977.98
135.4758,34.721,135.473,34.7188,14934871.28
135.4785,34.721,135.4757,34.7188,14440406.46
135.4812,34.7211,135.4785,34.7188,18448531.97
135.484,34.7211,135.4812,34.7188,17967334.21
135.4867,34.7211,135.4839,34.7188,14500430.36
135.4894,34.7211,135.4867,34.7188,16443612.51
135.4922,34.7211,135.4894,34.7189,15866713.87
135.4949,34.7211,135.4921,34.7189,13552098.39
135.4976,34.7211,135.4948,34.7189,14552491.21
135.5003,34.7211,135.4976,34.7189,8834035.427
135.5031,34.7212,135.5003,34.7189,3902593.571
135.5058,34.7212,135.503,34.7189,1459570.539
135.5085,34.7212,135.5058,34.7189,415065.1303
135.5113,34.7212,135.5085,34.7189,363995.3576
135.514,34.7212,135.5112,34.7189,27084.63714
135.5222,34.7212,135.5194,34.719,226899.0281
135.5249,34.7212,135.5221,34.719,1069500.339
135.5276,34.7212,135.5249,34.719,1747241.348
135.5304,34.7213,135.5276,34.719,1235834.545
135.5331,34.7213,135.5303,34.719,1087170.261
135.5358,34.7213,135.5331,34.719,978179.5653
